tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at
'2050014023714849015',"‼️BOMBSHELL: Same Law Firm Harpole Uses AGAINST Candace Employs Ben Shapiro’s Brother-in-Law & Is OWNED By Trump DOJ Insider! 👀

The rabbit hole just got a lot deeper. If you were wondering why Brian Harpole’s lawsuit against Candace Owens felt like a coordinated strike, the legal ""family tree"" behind it tells the whole story.

1. The DOJ Connection: Brian Harpole’s lead attorney, Zachary Stoner, works for the Dhillon Law Group. The firm’s founder, Harmeet Dhillon, is currently serving as President Trump’s Assistant Attorney General for Civil Rights at the DOJ. While she is officially on leave from the firm, her influence is everywhere—especially as she advocates for stricter ""Anti-Semitism"" speech laws that many fear will be used to silence journalists like Candace.

2. The Daily Wire Connection: As Candace revealed tonight, this is the EXACT same law firm that represented The Daily Wire during their brutal, two-year arbitration battle against her. They know her, they’ve fought her before, and they are back for more.

3. The ""In-Law"" Bombshell: This is where it gets personal. Dhillon Law Group didn't just stop at representing the Daily Wire—they also hired Jacob Roth (@RothThePatriot).
Who is he? An Orthodox Jewish attorney at Dhillon Law specializing in ""civil rights.""

The Shapiro Tie: He is Ben Shapiro’s brother-in-law, married to Ben’s sister, Abby Shapiro (@ClassicallyAbby).

It looks like a classic ATTACK BY PROXY. 

@benshapiro is her crazy ex-employer who feels more like a Jilted lover and has been relentlessly harassing and stalking her for years—seems to be weaponizing a law firm tied to the highest levels of the DOJ and his own family members to launch a legal offensive against her.

This is nothing more than a desperate attempt to chill free speech and shut down her investigation into the Charlie Kirk case and the ""Epstein class.""

They want to use the legal system to do what they couldn’t do in a debate. But they forgot one thing: Discovery works both ways.

Do you think this is just a regular lawsuit or is it a coordinated effort by Shapiro and the DOJ to silence @RealCandaceO  on behald of our greatest ally? The receipts are starting to pile up. 🍿",en,Tweet,63,554,123,36,34913,4/30/2026
'2050044377385377983',@RealCandaceO yeah small world huh...,en,Reply,0,2,0,0,60,4/30/2026
'2050043343502004729',"🚨 I Got An HONORABLE Mention In The LAWSUIT, Baby! 😂

You know it’s a good week when @benshapiro  — oops, I mean Brian Harpole — drops a 69-page defamation suit against @RealCandaceO and @Justice4Gr8Nate and your boy @ProjectConstitu gets a shoutout in paragraph 65 for the exact Fort Huachuca posts that started it all.

Here’s what’s wild: Instead of coming after ME (or @baroncoleman) for actually writing the story they took issue with… they instead bypassed us and went straight after Candace for simply reposting it.

Make it make sense.

I know, I know — I should be grateful. Out of everyone terrorizing TPUSA with the truth, I’m the only one blessed enough to have received two cease-and-desists from Erika Kirk and Turning Point. Baron’s still patiently waiting on his first.
But I’m not gonna lie… I’m kinda jealous over here.
Where’s my lawsuit, Harpole? I feel left out 😭

Drop your “welcome to the club” memes below 👇",en,Tweet,3,9,2,0,337,4/30/2026
'2050035559800709454',"@Michael_McCoyy You should take this to heart my friend. You know if you do the right thing God will have you back and so will all of us. 
Charlie deserves the truth. 

My DM's are always open...",en,Tweet,3,61,5,0,1491,4/30/2026
'2050034268202569902',@counter_front exactly. discovery will land them all in prison,en,Reply,0,0,0,1,152,4/30/2026
'2050034109779501119',@DuncanLyne44524 @RealCandaceO @baroncoleman no doubt. i'm sure Baronb was a bbbBeast of a Lawyer,en,Reply,0,11,0,0,221,4/30/2026
'2050033843185336453',@moonXRPalready you and me both.,en,Reply,0,6,0,0,173,4/30/2026
'2050033661769089498',"@nicci_eddy they messed up big time, this will prove to be their fatal mistake.",en,Reply,1,14,0,0,229,4/30/2026
'2050032990911111246',@ShadowofEzra nothing is a coincidence. https://t.co/47iGZvhfJQ,en,Reply,2,20,1,2,536,4/30/2026
'2050017817416679655',"It's APPARENT To Eveeyone That Trump Completely Flipped And Did A 180 Turn, But At What Point Did You Guys Notice The Change In Trump? 

What Was The Catalyst?
Do You Believe trump Could Be Possessed or Is It Blackmail Or What Do You Guys Think Caused This Seismic Shift In His Behavior And Policy?",en,Tweet,5,26,7,18,6432,4/30/2026
