"tweet_id","created_at","type","language","engagement","favorite_count","retweet_count","reply_count","bookmark_count","target_hits","risk_score","text"
"'2038167542057857524'","3/29/2026 4:13","Tweet","en","31889","21230","6539","632","3488","4","3","🚨EXPOSED: Here's What Joe Kent COULDN'T Say On Alex Jones Show—12 FOREIGN Cell Phones Were On The Ground At UVU When Charlie Kirk Was Assassinated.😱

When Joe Kent went on Alex Jones and admitted his team discovered a ""foreign nexus"" immediately following the assassination of Charlie Kirk, he was careful not to name the specific country. But when you piece together his timeline with the massive bombshell just dropped by @RealCandaceO, the entire cover-up falls apart.

We know exactly what the FBI was trying to hide. Here are the facts:

Kent confirmed that the second his team found leads connecting foreign entities to the assassination at Utah Valley University, the FBI immediately kicked them off the trail, revoked their access, and shut them out of the investigation. Why the sudden panic from the Feds?

THE 12 ISRAELI CELL PHONES:
Because, as Candace Owens publicly confirmed beyond a shadow of a doubt, there were 12 Israeli cell phones active on the ground at UVU on September 10th. These weren't American students using routed VPNs—these were actual, personal cellular accounts opened inside Israel, operating at the exact location where Charlie was killed.

Charlie was actively and aggressively lobbying against the establishment's war in Iran, refusing to back down even after the ""Midnight Hammer"" strikes. He explicitly warned people that ""they"" were going to kill him, and he was facing massive threats and pressure from foreign-aligned donors.

The NSA knows about these 12 phones. Kash Patel knows. The Trump administration knows.

This is textbook probable cause. If there is nothing to hide, release the data. We demand a full, unredacted, immediate investigation into exactly who was holding those 12 Israeli cell phones at UVU when Charlie Kirk was executed. 🇺🇸

@joekent16jan19 @RealAlexJones @RealCandaceO"
"'2042590760512401454'","4/10/2026 9:09","Tweet","en","21615","11715","3440","517","5943","1","3","🚨EXPOSED: Palm Beach Pete Has the Exact Same Mark as Jeffrey Epstein— The Final Proof That Jeffrey Epstein is Alive😱

This is the final piece of proof. They faked Jeffrey Epstein's suicide, and we have him. This is not a theory anymore.

It started with the uncanny resemblance. A man driving a luxury car in Palm Beach who looked so much like Epstein it set the internet on fire.

Then, online sleuths matched his teeth. The dental records didn't lie.

Then, in a bombshell TMZ interview, ""Palm Beach Pete"" admitted to living in New York City when Epstein was there, and then in Palm Beach when Epstein moved to his infamous estate. He even admitted to having ""partied with Epstein in the past.""

But now, we have the smoking gun. The absolute, undeniable proof.

Palm Beach Pete has the exact same tattoo on his arm, in the exact same spot, that Jeffrey Epstein had.

Let that sink in. What are the odds that a man who looks exactly like Epstein, lived in the same cities as Epstein, partnered with Epstein, and goes by the name ""Palm Beach Pete""... also has Epstein's exact same tattoo?

The odds are zero. This is Jeffrey Epstein.

They didn't kill him in that cell. They cleared all his charges, gave him a little plastic surgery, and set him free. The evidence is piling up that the establishment faked his death to cover their crimes and now the fake media wants you to believe it was just a series of coincidences. 

It wasn't a suicide. It was an operation. And this is the the proof they pulled it off.

He's living out in the open, driving luxury cars, confident that no one will ever touch him. This is the biggest insult to every victim and every American citizen who was told to believe the official story.

The system is a fraud. The justice system is a joke. And Jeffrey Epstein is still out there.

They thought we would forget. They thought we would move on. We didn't. Share this everywhere. The world needs to know the truth. 🇺🇸⚓️"
"'2047824400733376581'","4/24/2026 19:45","Tweet","en","19970","13411","3399","576","2584","6","2","🚨EXCLUSIVE: Texas State TPUSA Chapter Member Just RESIGNED & Dropped a SCATHING Resignation Letter CRITICIZING Erika Kirk and Other TPUSA Executives 👀

Mason Lemme (@LemmeReact) officially disassociated from Turning Point USA on April 10th — exactly 7 months after Charlie Kirk’s assassination.

In his letter, he exposes the massive manipulation of the Christian faith to push the “lone shooter miracle” narrative, suppress questions about the .30-06 rifle footage, and backtrack on Charlie’s original stances.
He calls out the “deeply disturbing” leaked Zoom calls, the shift to “TPUSA 2.0,” and how leadership is weaponizing Jesus to shut down anyone asking for the truth.

Direct quote from the letter:“I truly believe that there has been a massive worldwide manipulation of the Christian faith surrounding the assassination of Charlie Kirk. This strategy was used to weaponize people’s faith in Jesus against themselves in order to make people believe a specific narrative.”
TPUSA died with Charlie. 

The grift continues without him.

Drop a 🔥 if you’re done with the fake “conservative” machine. RT to make sure @ErikaKirk and the TPUSA elites see exactly what their own chapter members think of them now.

FOLLOW @LemmeReact And go watch his FULL video linked below as i left a lot out. 🔽

CC: @RealCandaceO @baroncoleman @MrsErikaKirk @AndrewKolvet @BlakeSNeff @tylerbowyer @TPUSA @AubreyLaitsch"
"'2043691823915299155'","4/13/2026 10:04","Tweet","en","17547","10857","4093","237","2360","3","0","🚨EXPOSED: Lori Frantzve Appears In Edward Snowden LEAKED Prism Docs As ""NSA Agent""—Erika Kirk's Mom CONFIRMED As Intelligence Asset.😱

I just discovery  Lori Frantzve’s name in the leaked documents released by Edward Snowden. This document explicitly lists her under a section titled ""DOX,"" identifying her among a group of alleged NSA agents whose personal data was exposed.

For those of us tracking the ""New TPUSA"" narrative, this isn't just a coincidence—it’s a confirmation of the Intelligence Asset theory.

🚩 The ""Legacy"" of Lori Frantzve
Lori’s inclusion in a list of NSA personnel alongside former directors like Lt Gen Kenneth Minihan adds massive weight to the claim that she has spent her career embedded in the deep-state apparatus. If Lori is a confirmed intelligence asset, her daughter's entire life story suddenly looks like a meticulously managed operation.

🎭 The Targeted Infiltration of Charlie Kirk
The pieces are fitting together perfectly. We’ve always suspected that Erika’s ""chance"" meeting with Charlie in an airport was too convenient to be real. Based on this new link to the NSA, the investigation suggests a much darker timeline:

The Grooming: Erika didn't just stumble into the movement; she was likely directed by Lori, using her mother's defense and intelligence connections to ""target"" Charlie Kirk.

Remember Erika changed her entire image—pretending to be exactly the kind of traditional Christian woman she knew Charlie’s faith and values would attract—just to lure him in.

If Erika is being directed by an NSA-linked mother, then the ""widow"" we see today isn't a leader; she’s an operator holding the line for her mother’s interests.

🏛️ Why This Changes Everything
This link to the NSA PRISM database and Snowden documents proves that the Lori's Tech background was just a cover for something much deeper. When a former CIA analyst says Erika Kirk's behavior is ""not fucking normal,"" and then we find her mother in a leaked NSA dox, the ""coincidence"" officially dies.

They are running a script, and the script was written by people with badges and high-level security clearances.

Is Erika a grieving widow, or is she the second generation of an intelligence dynasty? The ""DOX"" doesn't lie. 

I'll link the full set of leaked NSA docs in the comments below so you can check them out for yourself. Share this everywhere, The evidence is piling up. 👇"
"'2043105082560942493'","4/11/2026 19:13","Tweet","en","13303","8777","4303","223","0","1","3","🚨PROOF: Israeli Cell Phones Linked to Charlie Kirk's Assassination Just Surfaced At The Islamabad Serena Hotel— Where Iran Peace Talks Are Happening Right Now😱

I told you this went deeper than Utah. I told you the ""official narrative"" was a lie. We just got a massive breakthrough that links the ASSASSINATION of Charlie Kirk directly to the highest levels of global power.

🔍 THE LEAKED DATA:
We have been tracking 16 Israeli registered cell phones that were pinged at UVU the moment the shots were fired. FOUR of those phones have just been traced to the Islamabad Serena Hotel in Pakistan.

Why does this matter?
Because as we speak, Vice President JD Vance, Jared Kushner, and top Iranian Leaders are at that EXACT hotel for high-stakes peace talks. 🏛️🤝

🛑 CONNECT THE DOTS:
This isn't a foreign exchange student. These devices are moving in the same circles as the negotiators deciding the fate of the Middle East.

The same people purportedly negotiating ""peace"" in Pakistan were present at the scene of the crime in Orem.

The ""Accident"" Narrative is DEAD: You don't have four high-level Israeli-linked devices at a murder scene and then at a secret diplomatic summit by ""coincidence.""

🎙️ THE BIG QUESTION:
Was Charlie removed because he was about to expose the very people sitting in that hotel room today? 🕵️‍♂️⚖️

The FBI is cropping videos, Discord logs are being faked, and now the tracking data leads straight to the Serena Hotel. They aren't just hiding a killer; they are hiding a global operation.

WHO IS REALLY RUNNING THE SHOW?

Source: Data obtained via independent SIGINT tracking.
(Image of tracked phones is a recreation and NOT real)

👇 SHARE THIS. The receipts are piling up.

From: @TonySeruga FOLLOW Him!"
"'2048017893485339109'","4/25/2026 8:34","Tweet","en","12857","8861","1982","411","1603","3","4","‼️ BOMBSHELL: Erika Kirk is LEGALLY DISQUALIFIED as Victim Rep In Tyler Robinson Trial—Utah Statute EXPOSED👀

Zach from @FinanceWolves  just exposed a great point that nobody is talking about from the April 17 evidentiary hearing. 

Erika Kirk does NOT legally qualify as the victim representative.

She filed to invoke speedy trial rights as Charlie’s widow… but Utah law explicitly disqualifies anyone who “appears to be accountable or otherwise criminally involved” in the crime.

The statute is crystal clear: if there is even the appearance of involvement or suspicion, you’re out.
And Erika’s alibi? It keeps changing:

Hospital parking lot with her mom?
At the airport?
Or was she at the Hopkinson Aircraft office when she got the news?

Why can’t we get a straight story months later?
The clip breaks it all down with the exact Utah statute. This isn’t conspiracy — it’s the law. And it raises massive questions about why the judge even allowed her to claim these rights.

Do you think Erika Kirk appears suspicious enough to disqualify her as victim rep? 👀

Drop a 🔥 if this needs to go viral and RT so the Judge can’t ignore it.

FOLLOW @FinanceWolves and watch his FULL video linked below.👇"
"'2047258917399331209'","4/23/2026 6:18","Tweet","en","12685","8810","2291","317","1267","2","1","I have Just Obtained Laura ""Larry"" Loomer's FULL deposition transcript from her lawsuit with Bill Mahar she just LOST and OMG she said way too much. 

When this comes out it will end her relationship with Trump, her career and quite possibly will land her in prison for disclosing classified information. We will be doing a dramatic reading very very soon. stay tuned. 🔥

CC: @LauraLoomer, @billmaher"
"'2047722115869073775'","4/24/2026 12:59","Tweet","en","11104","6678","2298","242","1886","5","2","🚨 EXPOSED: Tim Pool Accidentally LEAKED The Multi-Million Dollar Cover-Up to PROTECT Erika Kirk 👀

Tim Pool just accidentally exposed the EXACT coordinated, dark-money operation we’ve been warning you about.We’ve been saying that massive funds from networks like Yrefi, Uncensored AI, and Polymarket are being deployed to artificially protect Erika Kirk, prop up Turning Point USA’s new regime, and attack independent journalists like Candace Owens and the rest of us. Now, we have the receipts. The backend YouTube data proves it. 

According to data dropped by @Timcast , the ad term “Erika Kirk” is currently generating $18 to $20 RPMs on YouTube. To put that in perspective: standard political content right now (in the political off-season) is making a fraction of that, around $6 to $8. The term ""Erika Kirk"" is paying out at the exact same tier as high-level FINANCE channels.

Someone with extremely deep pockets is pumping literal millions of dollars into ad buys specifically targeting the term ""Erika Kirk."" When you dump that kind of money into the ad inventory, YouTube’s algorithm is FORCED to shove those videos onto the front page to fulfill the ad spend.They are financially incentivizing creators to spam positive content about her, paying shills to push a coordinated defense script via Signal and DMs, and artificially inflating her relevance.

The narrative is collapsing. We've  been relentlessly exposing the institutional reality behind Erika Kirk. Just last week, Erika canceled her high-profile appearance with VP JD Vance at the University of Georgia, claiming “serious security threats.”But the truth leaked: Secret Service sources confirmed there were NO credible threats. 

It was a cover-up for dismal ticket sales and a desperate PR move to avoid public scrutiny.Instead of admitting the truth, these establishment networks activated their bought-and-paid-for shills. They flooded the timeline. They launched coordinated attack campaigns against Candace and anyone else asking real questions about non-profit transparency and TPUSA's new leadership.

They can’t win the argument on the facts, so they are literally BUYING the algorithm to silence independent investigators and gaslight the public.We will not stop tracking these dark money operations. 

We will not stop exposing the institutional rot. 

RT this everywhere. The public has a right to know how their feeds are being manipulated. Drop a 🔥 in the replies if you are awake to the machine.

FROM: @FurkanGozukara FOLLOW HIM!"
"'2047417611172843924'","4/23/2026 16:49","Tweet","en","8577","5470","1764","271","1072","4","1","NEWSMAX WAKES UP:  Rob O'Neill and General Hall QUESTION the FED-SLOP Narrative In Charlie Kirk Investigation 👀

A bombshell segment on Newsmax today has completely dismantled the FBI's official story regarding the assassination of Charlie Kirk. Two elite military experts—including a Navy SEAL Team 6 sniper—have come forward to call the government’s 30.06 narrative a flat-out lie.

💥 ""It Looks Like an Explosion""
Rob O’Neill, the man who killed bin Laden, and General Hall didn't hold back. They analyzed the ballistics and the visual evidence, concluding that the physics simply don’t match the official report:

The ""Explosion"" Theory: O’Neill stated, ""I’ve never seen a shirt move like that. That looks like an explosion to me."" Both experts agreed that something exploded on Kirk rather than a standard 30.06 rifle shot.

Ballistic Reality: O'Neill, a master sniper, pointed out that if a 30.06 round hit a human spine at that range, the damage would be far more catastrophic than what was seen. He dismissed the FBI’s ""hit the spine"" theory as ""garbage"".

The ""Magic"" Screwdriver: The experts mocked the idea that the alleged shooter, Tyler Robinson, took a rifle apart, got it on a roof, reassembled it with a screwdriver that didn't even work, jumped off the roof, and then went to a steakhouse like nothing happened.

🕵️‍♂️ Mainstream Media Finally Asking Real Questions
For the first time, we are seeing the mainstream media break the silence on the ""shady"" behavior at the scene:

SD Card Security: O’Neill noted that instead of performing first aid on Kirk, teams were more concerned with removing SIM cards and cameras to ""clean up"" the scene immediately.

The Zach Koreshi Mystery: General Hall raised the alarm about Zach Koreshi, noting that the FBI claimed they had ""their guy"" only to retract it 90 minutes later—precious time that a real killer could have used to flee.

📉 The Erika Kirk Factor
The experts were also highly critical of Erika Kirk, pointing out the bizarre ""razzle dazzle"" of her quick forgiveness for the alleged shooter:

Selective Forgiveness: They noted that while Erika was ""really quick to forgive"" the man the FBI labeled as the killer, she and the organization have been ruthless toward Candace Owens for simply asking questions.

Technical Admission: O’Neill argued that by forgiving him so fast, she was technically confirming the FBI’s narrative before the facts were even in.

⚖️ The Verdict
The General’s final word was a chilling warning to the Justice Department: ""They know that we know better."" From the impossible logistics of the roof to the ""shady"" cleanup, the military community is standing with Project Constitution.

Mainstream media is waking up. The truth is inevitable. Keep going, Newsmax! 🇺🇸⚖️

From: @jamiburns45 FOLLOW Them!"
"'2040285868175376554'","4/4/2026 0:30","Tweet","en","8336","5347","2558","431","0","9","5","🚨EXPOSED: Dan Bongino JUST Admitted His Wife WORKED For Andrew Kolvet And TPUSA Doing Their Scheduling—Are The Bongino's COLLUDING With TPUSA To Railroad Tyler Robinson?👀

We just caught the ""Assistant FBI Director"" in a massive admission that blows the Charlie Kirk investigation wide open. This week on his podcast, Dan Bongino finally said the quiet part out loud: His wife, Paula Andrea Martinez (Bongino), wasn't just a fan—she was deeply embedded in the Turning Point USA ecosystem. 

Bongino admitted that Paula worked directly for Andrew Kolvet and TPUSA handling scheduling. He even bragged that they ""talked almost every day"" and have ""known Andrew forever.""

Wait a minute, Dan. You were the man in charge of investigating the death of Charlie Kirk. How is it that your wife was on the payroll of the very people whose ""official"" narrative you are now out here defending?

If you had done an actual investigation instead of railroading Tyler Robinson, we wouldn't have to be out here doing your job for you.

THE QUESTIONS DAN WON'T ANSWER:
🟥 Why did you block Joe Kent (National Counter-Terrorism Director) from investigating credible foreign nexus leads?

🟥 Did you and Paula collude with @AndrewKolvet and TPUSA to manufacture evidence and cover up the truth?

🟥 Is your relentless bashing of independent journalists a desperate attempt to protect Israel—the cause you admitted is ""Number One"" to your heart?

🇮🇱DAN BONGINO IS ISRAEL FIRST—NOT AMERICA FIRST:

In a separate, damning interview, @dbongino was asked what cause is ""the the number one cause ""dear to his heart"". His answer wasn't America First. It wasn't The Constitution. It was: ""The Defense of Israel.""

Under your leadership, the FBI has been accused of planting evidence and falsifying documents to protect the real killers. It’s starting to look like the ""Assistant FBI Director"" was actually the point man for the cover up.

🕵️‍♀️ WHO IS PAULA ANDREA MARTINEZ (BONGINO)?
We’ve done the digging that the mainstream media refuses to do. Here is the bio on the woman in the middle of the TPUSA/FBI web:

Professional Ties: Paula is a web developer and consultant. Multiple sources and corporate filings link her to Redline Strategy, LLC (the primary legal entity for ""Redline Pictures"").

Redline Strategy, LLC is registered in Scottsdale, AZ, sharing the same corporate hub as Turning Point USA.

As Dan admitted, she handled scheduling and high-level media booking for Andrew Kolvet and Charlie Kirk. She wasn't just staff; she was the ""engine room"" infrastructure.

Like her husband, Paula has been a vocal supporter of the ""Defense of Israel"" cause, frequently seen at TPUSA events (like the Auburn chapter) tagging the organization and its leadership.

The Business Portfolio: Together with Dan, she operates three home-based businesses focused on security consulting, risk management, and web development—providing a perfect ""private"" layer for coordination between federal interests and private media firms.

Now it all makes sense.

Why he protects the Epstein client list.

Why he screams ""conspiracy theorist"" at anyone mentioning foreign influence.

Why he is carrying water for the intel networks trying to silence @RealCandaceO 

Dan Bongino didn't misspeak. He just told you whose flag he’s actually saluting. 🇺🇸🚫🇮🇱

📢 WE NEED YOUR TIPS!
The truth is coming out, and the ""engine room"" is starting to smoke. If you have any information regarding Paula Bongino’s relationship with Andrew Kolvet, Redline Strategy LLC, or TPUSA—especially regarding the timeline of September 2025 until now—we want to hear from you.

📥 DM us here or email: projectconstitutionvideos@gmail.com

Stay steadfast. Stay unshaken. Beholden only to God. 🙏"
