"date","engagements","posts_active","posts_created","followers_eod","influencer_rank"
"2025-10-05","18120517","116","7","181839","6133"
"2026-03-14","15389507","214","29","270356","7912"
"2025-09-13","13859770","178","21","157520","14152"
"2025-10-06","12281526","120","15","181906","4991"
"2026-02-26","8262785","311","19","261135","5459"
"2025-09-30","6981011","153","26","179067","5847"
"2026-02-25","6361765","357","171","259591","18343"
"2025-09-14","6171197","168","14","159246","6928"
"2026-03-27","6156531","227","23","272019","2978"
"2026-04-06","5310367","262","37","274624","5511"
"2026-03-26","5363803","220","35","271888","9998"
"2025-12-06","5107234","172","14","219811","78056"
"2026-04-11","5132936","185","19","275066","5712"
"2025-11-28","5486579","136","8","209160","2796"
"2025-11-27","5370814","143","9","206721","5415"
"2026-03-22","4952441","192","16","270975","14577"
"2025-12-03","4981415","165","22","214768","27890"
"2026-02-22","4738221","188","11","255945","25898"
"2026-02-23","4529254","181","10","257466","9125"
"2026-03-13","4458603","222","13","265783","7395"
"2025-11-30","4394518","133","16","212007","16120"
"2025-10-04","4322751","113","14","181155","6909"
"2025-11-29","4320096","137","11","210271","12218"
"2025-12-16","4297399","227","12","230255","15974"
"2026-04-10","3964788","187","12","274681","24978"
