"tweet_id","created_at","type","engagement","favorite_count","retweet_count","reply_count","hit_score","text"
"'2044209620252598437'","4/14/2026 20:22","Tweet","314","203","92","19","14","🆘 PART TWO: The Chilling EVIDENCE Victor Marx is Running an ARMS Pipeline to Haiti and the IDF 🔫📦

""Turning Point Faith was the infiltration... an Epstein world re-emerging somewhere else."" — Candace Owens 👱‍♀️⚔️

Candace just dropped Part 2 On Her expose` on Pastor Victor Marx, and it’s a total trainwreck. She is officially naming Pastor Victor Marx as a central figure in a suspicious arms network—one that reaches from high-risk missions in Haiti to the IDF in Gaza, all while hiding behind ""spiritual retooling"" and ""angelic visions.""

The Whistleblower: Corby Hall (FoldAR)Corby Hall, inventor of the backpack-deployable FoldAR rifle, has come forward with a staggering testimony:
The Haiti Mission: Marx allegedly pressured Hall for 50 rifles to be ""dropped off"" in Haiti—an illegal export. When Hall refused, Marx reportedly asked for a long-range sniper rifle to ""blow the head off"" anyone near his orphanage to use as propaganda.

The IDF Request: Marx allegedly demanded 50,000 rifles for operations in Gaza, Lebanon, and Syria. When Hall questioned the morality using scripture, Marx reportedly threatened him, saying, ""I could whoop your ass right here.""

The ATF Trace: September 10th at 9:00 AM. This is where it gets chilling...

A specific FoldAR rifle (Serial #02735) went ""missing"" from a Texas Deputy's car in 2024.
The Timing: On the morning of Charlie Kirk’s assassination—hours before the first shot—the ATF hit Corby Hall with an urgent trace on that exact stolen gun.

The Cover-Up: The ATF went silent. The Deputy says he was never contacted. Was the ""Tyler Robinson gun"" actually a pre-staged asset from this very trafficking ring?

The CIA Connection? Candace isn't buying the ""reformed trafficker"" story. She notes a bizarre pattern: Victor Marx and the ""Egyptian Planes"" are tracking the same cities, often near military bases.

Is Victor Marx a CIA contractor?

Why does every pastor around Erika Kirk have a background in ""charitable trafficking"" or arms dealing?

The Infiltration is Complete. Candace suggests that after Epstein went down in 2018, the same global network simply ""re-emerged"" inside the non-profit and church world. And at the center of it all is Erika Kirk—no longer the ""perfect victim,"" but the bridge to these ""troubled pastors.""

👇 WATCH PART 2. The ""Egyptian Plane"" puzzle just found its missing piece. Is Turning Point USA a political movement, or a front for the ""Department of War""?

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below!👇"
"'2042213289690570783'","4/9/2026 8:09","Tweet","690","430","242","18","11","🚨BOMBSHELL: TPUSA is Laundering YOUR Data Through a ""Neutral"" SHELL Company— Here's The PROOF VoteOnline LLC  is a Secret TPUSA Front!😱

If you’re planning on heading to the ""Build the Red Wall"" rally in Phoenix on April 17th to see President Trump and Erika Kirk, you need to read the fine print. Turning Point USA and Tyler Bowyer have launched a new operation designed to suck up your personal data—and they’re using yet another shell company as thefront to do it.

TPUSA is requiring everyone who wants to attend the rally to ""check their voter registration status."" But they aren't sending you to a government site. They are funneling you through a mysterious new nonprofit called VoteOnline LLC

The Disguise: The site is branded in purple and green with zero TPUSA logos. It looks like a non-partisan civic tool.

The Reality: Buried in the privacy policy, the address for VoteOnline is the exact same building as TPUSA headquarters in Phoenix.

The Leadership: The CEO of VoteOnline is Amy Smith, a longtime TPUSA employee.

🕵️‍♂️ THE AUSTIN SMITH CONNECTION
It gets darker. Amy Smith is married to Austin Smith, the former state lawmaker and TPUSA Senior Director who was caught forging signatures for his own election. He pleaded guilty to attempted fraud, yet he’s reportedly back in the TPUSA fold.

As Republican strategist Tyler Montague put it: ""They don’t give a rip about his fraud and cheating."" They are using the same people who got caught rigging petitions to manage your private data.

📊 WHAT ARE THEY STEALING?
When you ""check your status"" on their form, you aren't just giving them your name. You are handing over:

Your physical address and birth date.

Your phone number.

How you plan to vote.

Because VoteOnline is a 501(c)3, they claim they won't share data with ""campaigns,"" but there is nothing stopping them from handing that entire database over to Turning Point Action—the political arm now run by Erika Kirk.

🧊 THE ""HANDLERS"" ARE WATCHING
This is exactly what we’ve been warning you about, they are building a profile on every person in the country. They want to know who is a ""high-propensity"" donor so they can target you for cash and manipulation.

While Erika Kirk talks about ""transactional"" relationships, her organization is treating your data like a commodity. They are using the President’s name to build a massive digital dragnet.

Don't let them harvest your data under the guise of ""patriotism."" Why is TPUSA masquerading as a ""non-partisan"" site? Why are they using fraud-linked directors to run it?

Gemini said
🚨 THE DATA HARVEST: TPUSA’S NEW ""SILENT"" SCAM EXPOSED. 🚨
If you’re planning on heading to the ""Build the Red Wall"" rally in Phoenix on April 17th to see President Trump and Erika Kirk, you need to read the fine print. Turning Point USA and Tyler Bowyer have launched a new operation designed to suck up your personal data—and they’re using a ""neutral"" front to do it.

🕸️ THE VOTE (.) ONLINE TRAP
TPUSA is requiring everyone who wants to attend the rally to ""check their voter registration status."" But they aren't sending you to a government site. They are funneling you through a mysterious new nonprofit called VoteOnline.

The Disguise: The site is branded in purple and green with zero TPUSA logos. It looks like a non-partisan civic tool.

The Suspicious Pivot: In the past, TPUSA tried to boost its voter data machine using branded apps and tools with the organization’s name and logo. It failed because people were suspicious of the partisan branding. They learned their lesson—now they’re hiding behind a ""non-partisan"" mask to trick you into lowering your guard.

The Reality: Buried in the privacy policy, the address for VoteOnline is 4945 E. Wilder Rd, Phoenix, AZ—the exact same building that houses Turning Point USA’s headquarters.

The Leadership: The CEO of VoteOnline is Amy Smith, a longtime TPUSA employee and wife of Austin Smith—the man caught forging signatures on petitions.

The Team: Staffers like Jonah Bodmer and Analise Alexander also appear in the directory—both are former employees of TPUSA and Turning Point Action.

The Data Loophole: How it Works
This is where the ""scam"" comes into play. Because VoteOnline is a (c)(3), it can harvest your most sensitive data under the guise of ""voter registration"" and ""civic duty.""

The Harvesting: By requiring a ""registration check"" for events like the April 17th Phoenix rally, they gather your legal name, address, birth date, phone number, and—most importantly—voter intent (e.g., ""How do you plan to vote this year?"").

⛓️ THE HAND-OFF: SMOKING GUN PROOF
We’ve found the ""legal"" loophole they are using to strip you of your privacy. While (c)(3) nonprofits are supposed to be non-partisan, VoteOnline’s own privacy policy states they share data with ""Partner organizations"" that embed their portal.

The Proof: We have secured the evidence. Turning Point USA’s own student website (tpusastudents(.)com/vote) has the VoteOnline portal embedded directly into their page.

The Connection: This confirms that TPUSA is an official ""Partner Organization."" When you enter your data into VoteOnline, they are handing your profile directly over to Turning Point Action.

The Operatives: Your data is going straight to an organization run by Erika Kirk and Tyler Bowyer.

The Result: Your private info is scrubbed of its ""non-partisan"" label and turned into a weaponized political database used for targeting, fundraising, and manipulation.

🕵️‍♂️ THE PATTERN OF FRAUD
One thing is certain: ethics are obstacle Tyler Bowyer cleared a long time ago. From forged signatures to data dragnets, fraud is the consistent thread in his career. Bowyer and Erika Kirk are the new architects of Turning Point, and they’ve pivoted from Charlie’s original vision to a high-stakes intelligence operation.

This isn’t a leadership change at TPUSA; it’s a hostile takeover. They aren’t protecting the ""Red Wall""—they’re harvesting the people who build it. They have hijacked Charlie’s legacy and are now using it as a cold-blooded cash grab, liquidating your privacy and selling your data to the highest bidder.

The Red Wall is being built on your data. Spread the word before April 17th. 👇"
"'2044536346530787718'","4/15/2026 18:00","Tweet","430","323","69","10","11","🆘EXPOSED: Candace Owens Exposes the FAKE ""Threat"" Narrative—Proof Turning Point LIED About the Erika Kirk No-Show 📄

The Turning Point PR machine is officially in a tailspin, and Candace Owens is bringing the receipts to prove that the ""security threat"" used to explain Erika Kirk’s Athens no-show is a total work of fiction. 

""I’m just getting whiplash... What changed seven months later?"" — Candace Owens 

Candace just dismantled the narrative surrounding the Akins Ford Arena no-show, and the timeline makes the Turning Point leadership look like they are making it up as they go.

The 50-Minute Gap: TPUSA field reps were posting ""sweet and happy"" promotional videos just 50 minutes before doors opened, promising Erika Kirk would be there.
The Logic: If there was a ""serious threat,"" why were the event planners and campus leaders kept in the dark until the very last second?

The Truth: Decision-makers knew she wasn't coming long before that—because she wasn't even in Georgia. This wasn't a ""security pull-out""; it was a ""no-ticket-sales"" bailout. 

The ""Fearless"" Inversion: Remember Erika’s interview with Jesse Watters? She claimed a supernatural fearlessness: ""What are they gonna threaten me with? Going to heaven sooner to be with my husband."" * The Question: Why was Erika ""on fire for the Lord"" and fearless 21,000-person crowds right after the assassination, but suddenly terrified 7 months later at an event with the Vice President?

The Secret Service Factor: Are we really supposed to believe that the United States Secret Service—the team currently protecting the sitting VP—couldn't ""guarantee the safety"" of a non-profit CEO? 

The Gaslighting Shift: Andrew Kolvet is now on Fox News trying to pivot the blame onto ""attacks from surprising places"". They are trying to equate investigative journalism with ""death threats"" to justify her absence from an empty arena.

This is classic Hasbra—coordinated spin to protect an asset. They are using the ""poor widow"" card to tug at heartstrings because they can't explain the empty seats or the lack of public interest.

Erika isn't a victim of ""attacks""; she's a victim of her own crumbling credibility. If she’s not afraid to die to be with Charlie, why is she ghosting the Vice President of the United States?

The whiplash is real. Are you going to believe the PR team, or your own common sense?

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below.👇"
"'2044284834005065878'","4/15/2026 1:21","Tweet","313","239","53","21","11","🆘CRY ME A RIVER: All The PAID TPUSA Shills Are Out Repeating The Same Talking Points Again About So Called ""Death Threats"" Erika Recieved—This Looks Like Apple Cider Vinegar 2.0: Is Erika Kirk Prepping for a Staged False Flag Attack? 🧪🚩

The ""PR"" machine is in overdrive, but we see the wires behind the curtain.The synchronized talking points from the usual Turning Point suspects are a giant red flag. 🚩

This isn't a grassroots defense; it’s a paid hate campaign designed to silence anyone—especially Candace Owens—who asks the questions that open the door to ""Discovery.""

Watch out for the pattern. Right on cue, the ""usual suspects""—Graham Allen, Brandon Tatum, and Tracey Martin, Blake Neff, etc...are all singing from the same songbook. They want you to believe that Erika Kirk skipped tonight's event because of ""credible death threats.""

I call TOTAL B.S. 🚩

Discovery is Their Kryptonite. Why won't they sue people like myself or @RealCandaceO  for defamation? Because Discovery would force them to open their books, their phone logs, and their emails. They are terrified of what a court would find. Since they can’t win in court, they have to win in the court of public opinion by manufacturing victimhood.

 This ""threat"" narrative is a setup for a staged incident. We’ve seen this script before. Remember just a few months ago when Ilhan Omar was allegedly sprayed with a cup of apple cider vinegar from a syringe at a Minneapolis town hall? (January 2026). Even the President at the time suggested it looked staged!

They are setting Erika up for her own ""Vinegar Moment."" 🧪
The Claim: ""Doxing"" and ""Floor plans"" (Tracey Martin’s favorite new talking point).

The Excuse: ""I can't show up to the empty arena because it's too dangerous.""

The Goal: A staged, low-stakes ""attack"" to justify a massive crackdown on investigators like us.

The Reality is Erika didn't pull out because of some so-called threat, she pulled out because of an empty arena. You don't need ""security"" against thousands of empty seats.

Erika Kirk is NOT a victim. She is an evil, manipulative psychopath who has surrounded herself with deep state assets and trafficking-adjacent pastors. Don’t let the paid PR campaign gaslight you into forgetting about September 10th.

👇 WATCH THE CLIP. Tracey Martin claiming she’s ""freaked out"" is just the script. We are the ones who should be freaked out by the infiltration."
"'2043691823915299155'","4/13/2026 10:04","Tweet","17547","10857","4093","237","10","🚨EXPOSED: Lori Frantzve Appears In Edward Snowden LEAKED Prism Docs As ""NSA Agent""—Erika Kirk's Mom CONFIRMED As Intelligence Asset.😱

I just discovery  Lori Frantzve’s name in the leaked documents released by Edward Snowden. This document explicitly lists her under a section titled ""DOX,"" identifying her among a group of alleged NSA agents whose personal data was exposed.

For those of us tracking the ""New TPUSA"" narrative, this isn't just a coincidence—it’s a confirmation of the Intelligence Asset theory.

🚩 The ""Legacy"" of Lori Frantzve
Lori’s inclusion in a list of NSA personnel alongside former directors like Lt Gen Kenneth Minihan adds massive weight to the claim that she has spent her career embedded in the deep-state apparatus. If Lori is a confirmed intelligence asset, her daughter's entire life story suddenly looks like a meticulously managed operation.

🎭 The Targeted Infiltration of Charlie Kirk
The pieces are fitting together perfectly. We’ve always suspected that Erika’s ""chance"" meeting with Charlie in an airport was too convenient to be real. Based on this new link to the NSA, the investigation suggests a much darker timeline:

The Grooming: Erika didn't just stumble into the movement; she was likely directed by Lori, using her mother's defense and intelligence connections to ""target"" Charlie Kirk.

Remember Erika changed her entire image—pretending to be exactly the kind of traditional Christian woman she knew Charlie’s faith and values would attract—just to lure him in.

If Erika is being directed by an NSA-linked mother, then the ""widow"" we see today isn't a leader; she’s an operator holding the line for her mother’s interests.

🏛️ Why This Changes Everything
This link to the NSA PRISM database and Snowden documents proves that the Lori's Tech background was just a cover for something much deeper. When a former CIA analyst says Erika Kirk's behavior is ""not fucking normal,"" and then we find her mother in a leaked NSA dox, the ""coincidence"" officially dies.

They are running a script, and the script was written by people with badges and high-level security clearances.

Is Erika a grieving widow, or is she the second generation of an intelligence dynasty? The ""DOX"" doesn't lie. 

I'll link the full set of leaked NSA docs in the comments below so you can check them out for yourself. Share this everywhere, The evidence is piling up. 👇"
"'2044203863343841414'","4/14/2026 19:59","Tweet","460","332","107","21","10","🆘PART ONE: Candace Owens Exposes The DARK Past Of TPUSA Faith Pastor Victor Marx—The Family Of Traffickers and Murderers.🤯

""Turning Point Faith was the infiltration."" — Candace Owens

Candace just dropped Part 1 of her most explosive investigation yet, and the details surrounding Pastor Victor Marx—a key Erika Kirk ally—are nothing short of demonic. 🎭🔥

The ""Grief Marketing"" Campaign:Candace calls out the ""impersonal"" memorial for Charlie Kirk, revealing that Erika allegedly didn't even write her own eulogy (Blake Neff did). But more disturbing is the footage of Erika being ""comforted"" by Victor Marx and his wife, Eileen, less than 48 hours after the assassination.
The Camera Roll: Why were professional cameras rolling for an ""intimate"" moment of grief?

The Phone: Erika was caught holding the very phone she claimed she didn't turn on for weeks.

Who is Victor Marx? (The ""Kennedy"" Files):Victor Marx (born von Victor Kennedy) presents himself as a ""man of God,"" but his family tree is a horror movie:

The Stepfather: Gloyce Dean Kennedy ran an international drug smuggling ring out of Jamaica and was convicted in '87.
The Bloodline: Victor’s biological father was a pimp and drug dealer with ""homicidal tendencies."" His grandfather killed his grandmother in a murder-suicide.

The ""First Kill"": Victor openly tells a story of being forced by his stepfather to shoot and kill a man at age seven. The Patterns of Trafficking:Candace has been tracking ""Egyptian Planes"" that mirror Charlie Kirk’s travel schedule and Turning Point Faith events. Now, a whistleblower named Corby Hall (owner of FoldAR) has come forward.

The Interest: Victor Marx was allegedly interested in Corby’s company—which makes rifles that fold into backpacks—specifically for moving arms into Haiti.

The Mirror: Did Victor learn the ""family business"" of moving illegal products across borders from his drug-smuggling stepfather?
The Skin-Crawl Factor:Candace admits that hearing Erika discuss ""the Lord"" makes her skin crawl, noting that Erika rarely uses the name of Jesus Christ unless it’s in a script written by others.

Is Turning Point Faith a spiritual movement, or is it a logistical cover for something much darker? Victor Marx is currently running for Governor of Colorado—announced at a Charlie Kirk memorial.

👇 WATCH PART 1. The ""Egyptian Plane"" puzzle is finally coming together. Are we looking at a political organization, or a trafficking hub?

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below. 👇"
"'2044565840331218966'","4/15/2026 19:57","Tweet","428","282","129","17","10","🆘CONNECTING THE DOTS: Candace Owens Releases New Master Chart That Maps Out The Terrifying Web Of Infiltration At TPUSA🧐

Candace Owens just released a massive investigative chart—the ""Connecting Themes"" spreadsheet—that maps out a terrifying web of Eastern European trafficking, military psychological operations, and deep-state infiltration at the highest levels of Turning Point USA.

The public has been asking for a timeline, and Candace just delivered a spreadsheet that connects Erika Kirk, Victor Marx, and the September 10th tragedy to some of the darkest corners of international ""charity"" work.

1. THE EASTERN EUROPEAN PIPELINE 🇷🇴🇺🇦
The chart highlights a recurring theme: Romania.

Erika Kirk: Started the ""Romanian Angels"" project in 2012.

Tyler Bowyer: Was in Romania working with the government in 2011; he is fluent in Russian and holds a degree in Russian studies.

Harvest Church: Currently accused of trafficking children from Romania—the same church Erika just toured with.

The Military Link: Col. Otto Busher was accused of running a brothel with Romanian children at a military base; he worked with Romanian Angels during this time.

2. THE MILITARY & PSYOP OVERLAP 🪖🧠
Why are so many TPUSA advisors linked to the intelligence community?

Gen. Paul Vallely: TPUSA Advisor and retired Army General who ran psyops and co-wrote a book with Michael Aquino (Satanist founder of the Temple of Set).

Rob McCoy: His father ran psychological operations for Naval Intelligence to shape public perception.

Fort Huachuca: A civilian commander at this base was charged with running a child sex abuse ring.

HADES: The military plane that flew an inexplicable route near UVU on the day Charlie Kirk was assassinated.

3. THE ""CHARITY"" COVER STORIES 📦🎭
The spreadsheet lists a staggering number of people in Erika’s orbit involved in ""trafficking charities"":

Victor Marx: Runs a charity for child sex abuse; allegedly announced Charlie’s death first.

Nelda Buckman: TPUSA’s #1 donor, extensively involved in ""rescuing"" children through various ""Angels"" organizations.

Marcus Wada: TPUSA Productions Director who allegedly tells employees he was formerly involved in trafficking arms in Poland.

Derek & Shelaine Maxfield: Owners of the plane (N888KG) that left for Page, Arizona on 9/10; they run Saprea, a child abuse charity.

4. THE LIBERTY UNIVERSITY CLIQUE 🎓🏛️
The chart tracks the ""Liberty University to TPUSA"" pipeline, linking Tyler Bowyer, Erika Kirk, Cabot Phillips, and Andrew Kolvet. This is the core group that took over the organization following Charlie's death.

When you put it all on one page, the ""coincidences"" vanish. We see a network of assets with high-level military backgrounds and proximity to international trafficking hubs all converging on one man: Charlie Kirk.

This is why they won't sue. This is why they manufacture ""threats"" in Athens. They are terrified of Discovery because this spreadsheet is just the beginning.

👇 STUDY THE CHART. Why does every road lead back to Romania, psyops, and private planes?

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below. 👇"
"'2044547224990810439'","4/15/2026 18:43","Tweet","170","136","28","6","10","🆘PSYOP EXPOSED: Candace Just Revealed The TRUTH Behind Erika Kirk's Athens NO-SHOW😱

The Turning Point PR machine just hit a level of propaganda we’ve never seen before, and Candace Owens isn't just bringing the heat—she’s bringing the literal receipts. 🧾🔥

Candace just dropped the ultimate proof that the ""Security Threat"" in Athens was a total work of fiction designed to cover up the most embarrassing failure in the organization's history. They want you to believe Erika stayed home because people were ""tracking her plane.""

The Plane Tracking Lie: Erika has been traveling privately for months, and people have been tracking her travel since day one. She never canceled a single event before. Why now? Because you can’t ""remedy"" a tracked plane, and if you're flying into a private FBO with security, there is zero viable threat that the Secret Service couldn't handle. 

The Real Reason: Abysmal Attendance, because people across the country are revolting against Erika. Candace just revealed the hard facts

The Venue: Akins Ford Arena holds 7,000 people.
The Target: With 43,000 students at UGA and free tickets open to the general public, they couldn't even fill 25% of the room. 

The Evidence: Reporter Jake Traylor (MSNBC) posted a video showing the auditorium was an empty tomb. The PR team was so humiliated they actually used fake B-roll from old TPUSA events on Fox News to hide the empty seats! 

The ""Scheduling Conflict"": This is the smoking gun. Erika was supposed to speak at a local high school at 1:30 PM on the same day as the Vance event.

On Monday at noon (a full 24 hours before the ""emergency""), parents received a text alert.

The reason given? ""Scheduling complications."" 📱⚖️
There was no mention of a threat to the high school. If her life was truly in danger, wouldn't they inform the school administration? They didn't, because there was no threat—just parental backlash and a lack of interest.

Andrew Kolvet went on stage to imply it's your fault. He wants to blame investigative journalists and the public for ""attacking"" Erika. Candace calls this exactly what it is: Narcissistic Abuse. > ""When do you ever recall management coming out with messaging that implies it’s actually the public's fault? ... It is ridiculous.""

Turning Point USA is facing a crisis of stewardship. Under Erika Kirk, they are seeing the worst audience turnout in history, and they are trying to gaslight you into thinking it's a security crisis.

Don't let them treat you like a toddler. Are you going to believe the ""scheduling conflict"" text or the ""assassination plot"" PR spin?

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below. 👇"
"'2039816727949947341'","4/2/2026 17:26","Tweet","597","430","141","26","9","🚨 EXPOSED: How TPUSA Is VIOLATING The Judge's GAG Order In The Tyler Robinson Case— The Only People Tainting the JURY Work for TPUSA. 🪞🧐

It is truly remarkable to watch the level of emotional hysteria coming from the TPUSA camp lately. They love to point the finger at independent researchers—the ""conspiracy theorists,"" as they call us—accusing us of ""contaminating the jury pool."" But as @baroncoleman  just forensically demonstrated, the only people ACTUALLY violating the GAG ORDER and the law are TPUSA.

Let’s look at the Gag Order that Erika Kirk and Blake Neff seem to think doesn't apply to them:

The Legal Reality ⚖️
Baron pulled the receipts. Publicity Notice F-2025-012 identifies Erika Kirk and Blake Neff as witnesses. Under Rule 3.6, witnesses are strictly prohibited from making extrajudicial statements regarding the guilt of the accused.

Yet, what do we see?

Blake Neff is all over X and national radio, definitively declaring Tyler Robinson’s ""guilt,"" citing DNA, and claiming ""confessions.""

Both @MrsErikaKirk and @BlakeSNeff have recieved direct notices from the court, yet the @TPUSA PR machine continues to churn.

The Real Danger 🏗️⚔️
Here is the part they don't want you to understand: By flagrantly disregarding a judge’s order to campaign for a conviction in the court of public opinion, they are creating a massive legal liability. If the jury pool is sufficiently ""tainted"" by the prosecution’s own witnesses, a judge could—and SHOULD—throw the entire case out. 📉

Is their obsession with the ""official"" story so deep that they’d rather risk Tyler Robinson walking free than allow a real investigation into the PETN explosive and the EGYPTIAN flight patterns? ✈️📑

The ""Maniac"" Mirror 🪞
Blake calls us ""maniacs,"" but WE aren't the ones under a court order. We aren't witnesses. We are private citizens exercising our First Amendment rights to ask why the 4K footage shows an explosion under a shirt, not a bullet from a 30.06 rifle. 🧐

Stop pointing the finger at the ""us"" and look in the mirror. If Tyler Robinson walks, it won't be because of a ""conspiracy theory""—it will be because TPUSA couldn't keep their mouths shut. 🤐

Special thanks to @NihiloX for putting together this clip and to @baroncoleman for pointing out the glaringly obvious. FOLLOW both these awesome journalist."
"'2044215018057609382'","4/14/2026 20:43","Tweet","433","315","105","13","9","🆘SHOCKING: Was Victor Marx PROGRAMMED by the Precursor to MK ULTRA—Project Bluebird To Turning Point: The MK Ultra Connection You WEREN'T Supposed to Find.🧠🧬

We have just confirmed a terrifying detail about the upbringing of Turning Point Faith’s Victor Marx (born Vaughn Victor Kennedy). The man who raised him, his stepfather Gloyce Dean Kennedy, wasn't just in ""counterintelligence.""

Victor himself admits that his step father Gloyce was specially trained as part of PROJECT BLUEBIRD.

For the uninitiated: Project Bluebird was the precursor to Project Artichoke, which eventually evolved into the infamous MK ULTRA.

These programs were designed to create ""unwitting assets"" through extreme trauma, drug-induced states, and behavioral modification.

Dissociation & The ""First Kill"": Victor’s own accounts of his childhood under ""Mr. K"" read like a manual for creating a sleeper cell. He describes being forced to watch horrific acts and even being forced to pull the trigger on a stranger at age seven.

He learned how to completely dissociate—to split his mind—during these episodes of torture.

The Ultimate Question:How does a man who was an unofficial participant in the most notorious mind-control program in human history become the ""spiritual mentor"" tasked with welcoming the new widow, Erika Kirk, home just 48 hours after Charlie’s assassination?

Is Victor Marx a ""reformed"" man of God, or is he a high-level MK Ultra asset managing the optics of a political tragedy who is now connected to Erika Kirk and TPUSA—and did i mention he's also running for governor? 

When you understand the ""Bluebird"" history, the ""grief marketing"" and the ""retooling prayers"" take on a much more sinister meaning.

The infiltration isn't just in the pews—it’s in the programming. 🕊️🎭

MORE TO COME. We are just scratching the surface.

CREDIT: @imperfectgracej FOLLOW Her!"
