"tweet_id","created_at","type","language","engagement","favorite_count","retweet_count","reply_count","bookmark_count","target_hits","risk_score","text"
"'2038167542057857524'","3/29/2026 4:13","Tweet","en","31889","21230","6539","632","3488","4","3","🚨EXPOSED: Here's What Joe Kent COULDN'T Say On Alex Jones Show—12 FOREIGN Cell Phones Were On The Ground At UVU When Charlie Kirk Was Assassinated.😱

When Joe Kent went on Alex Jones and admitted his team discovered a ""foreign nexus"" immediately following the assassination of Charlie Kirk, he was careful not to name the specific country. But when you piece together his timeline with the massive bombshell just dropped by @RealCandaceO, the entire cover-up falls apart.

We know exactly what the FBI was trying to hide. Here are the facts:

Kent confirmed that the second his team found leads connecting foreign entities to the assassination at Utah Valley University, the FBI immediately kicked them off the trail, revoked their access, and shut them out of the investigation. Why the sudden panic from the Feds?

THE 12 ISRAELI CELL PHONES:
Because, as Candace Owens publicly confirmed beyond a shadow of a doubt, there were 12 Israeli cell phones active on the ground at UVU on September 10th. These weren't American students using routed VPNs—these were actual, personal cellular accounts opened inside Israel, operating at the exact location where Charlie was killed.

Charlie was actively and aggressively lobbying against the establishment's war in Iran, refusing to back down even after the ""Midnight Hammer"" strikes. He explicitly warned people that ""they"" were going to kill him, and he was facing massive threats and pressure from foreign-aligned donors.

The NSA knows about these 12 phones. Kash Patel knows. The Trump administration knows.

This is textbook probable cause. If there is nothing to hide, release the data. We demand a full, unredacted, immediate investigation into exactly who was holding those 12 Israeli cell phones at UVU when Charlie Kirk was executed. 🇺🇸

@joekent16jan19 @RealAlexJones @RealCandaceO"
"'2042590760512401454'","4/10/2026 9:09","Tweet","en","21615","11715","3440","517","5943","1","3","🚨EXPOSED: Palm Beach Pete Has the Exact Same Mark as Jeffrey Epstein— The Final Proof That Jeffrey Epstein is Alive😱

This is the final piece of proof. They faked Jeffrey Epstein's suicide, and we have him. This is not a theory anymore.

It started with the uncanny resemblance. A man driving a luxury car in Palm Beach who looked so much like Epstein it set the internet on fire.

Then, online sleuths matched his teeth. The dental records didn't lie.

Then, in a bombshell TMZ interview, ""Palm Beach Pete"" admitted to living in New York City when Epstein was there, and then in Palm Beach when Epstein moved to his infamous estate. He even admitted to having ""partied with Epstein in the past.""

But now, we have the smoking gun. The absolute, undeniable proof.

Palm Beach Pete has the exact same tattoo on his arm, in the exact same spot, that Jeffrey Epstein had.

Let that sink in. What are the odds that a man who looks exactly like Epstein, lived in the same cities as Epstein, partnered with Epstein, and goes by the name ""Palm Beach Pete""... also has Epstein's exact same tattoo?

The odds are zero. This is Jeffrey Epstein.

They didn't kill him in that cell. They cleared all his charges, gave him a little plastic surgery, and set him free. The evidence is piling up that the establishment faked his death to cover their crimes and now the fake media wants you to believe it was just a series of coincidences. 

It wasn't a suicide. It was an operation. And this is the the proof they pulled it off.

He's living out in the open, driving luxury cars, confident that no one will ever touch him. This is the biggest insult to every victim and every American citizen who was told to believe the official story.

The system is a fraud. The justice system is a joke. And Jeffrey Epstein is still out there.

They thought we would forget. They thought we would move on. We didn't. Share this everywhere. The world needs to know the truth. 🇺🇸⚓️"
"'2043105082560942493'","4/11/2026 19:13","Tweet","en","13303","8777","4303","223","0","1","3","🚨PROOF: Israeli Cell Phones Linked to Charlie Kirk's Assassination Just Surfaced At The Islamabad Serena Hotel— Where Iran Peace Talks Are Happening Right Now😱

I told you this went deeper than Utah. I told you the ""official narrative"" was a lie. We just got a massive breakthrough that links the ASSASSINATION of Charlie Kirk directly to the highest levels of global power.

🔍 THE LEAKED DATA:
We have been tracking 16 Israeli registered cell phones that were pinged at UVU the moment the shots were fired. FOUR of those phones have just been traced to the Islamabad Serena Hotel in Pakistan.

Why does this matter?
Because as we speak, Vice President JD Vance, Jared Kushner, and top Iranian Leaders are at that EXACT hotel for high-stakes peace talks. 🏛️🤝

🛑 CONNECT THE DOTS:
This isn't a foreign exchange student. These devices are moving in the same circles as the negotiators deciding the fate of the Middle East.

The same people purportedly negotiating ""peace"" in Pakistan were present at the scene of the crime in Orem.

The ""Accident"" Narrative is DEAD: You don't have four high-level Israeli-linked devices at a murder scene and then at a secret diplomatic summit by ""coincidence.""

🎙️ THE BIG QUESTION:
Was Charlie removed because he was about to expose the very people sitting in that hotel room today? 🕵️‍♂️⚖️

The FBI is cropping videos, Discord logs are being faked, and now the tracking data leads straight to the Serena Hotel. They aren't just hiding a killer; they are hiding a global operation.

WHO IS REALLY RUNNING THE SHOW?

Source: Data obtained via independent SIGINT tracking.
(Image of tracked phones is a recreation and NOT real)

👇 SHARE THIS. The receipts are piling up.

From: @TonySeruga FOLLOW Him!"
"'2048017893485339109'","4/25/2026 8:34","Tweet","en","12857","8861","1982","411","1603","3","4","‼️ BOMBSHELL: Erika Kirk is LEGALLY DISQUALIFIED as Victim Rep In Tyler Robinson Trial—Utah Statute EXPOSED👀

Zach from @FinanceWolves  just exposed a great point that nobody is talking about from the April 17 evidentiary hearing. 

Erika Kirk does NOT legally qualify as the victim representative.

She filed to invoke speedy trial rights as Charlie’s widow… but Utah law explicitly disqualifies anyone who “appears to be accountable or otherwise criminally involved” in the crime.

The statute is crystal clear: if there is even the appearance of involvement or suspicion, you’re out.
And Erika’s alibi? It keeps changing:

Hospital parking lot with her mom?
At the airport?
Or was she at the Hopkinson Aircraft office when she got the news?

Why can’t we get a straight story months later?
The clip breaks it all down with the exact Utah statute. This isn’t conspiracy — it’s the law. And it raises massive questions about why the judge even allowed her to claim these rights.

Do you think Erika Kirk appears suspicious enough to disqualify her as victim rep? 👀

Drop a 🔥 if this needs to go viral and RT so the Judge can’t ignore it.

FOLLOW @FinanceWolves and watch his FULL video linked below.👇"
"'2040285868175376554'","4/4/2026 0:30","Tweet","en","8336","5347","2558","431","0","9","5","🚨EXPOSED: Dan Bongino JUST Admitted His Wife WORKED For Andrew Kolvet And TPUSA Doing Their Scheduling—Are The Bongino's COLLUDING With TPUSA To Railroad Tyler Robinson?👀

We just caught the ""Assistant FBI Director"" in a massive admission that blows the Charlie Kirk investigation wide open. This week on his podcast, Dan Bongino finally said the quiet part out loud: His wife, Paula Andrea Martinez (Bongino), wasn't just a fan—she was deeply embedded in the Turning Point USA ecosystem. 

Bongino admitted that Paula worked directly for Andrew Kolvet and TPUSA handling scheduling. He even bragged that they ""talked almost every day"" and have ""known Andrew forever.""

Wait a minute, Dan. You were the man in charge of investigating the death of Charlie Kirk. How is it that your wife was on the payroll of the very people whose ""official"" narrative you are now out here defending?

If you had done an actual investigation instead of railroading Tyler Robinson, we wouldn't have to be out here doing your job for you.

THE QUESTIONS DAN WON'T ANSWER:
🟥 Why did you block Joe Kent (National Counter-Terrorism Director) from investigating credible foreign nexus leads?

🟥 Did you and Paula collude with @AndrewKolvet and TPUSA to manufacture evidence and cover up the truth?

🟥 Is your relentless bashing of independent journalists a desperate attempt to protect Israel—the cause you admitted is ""Number One"" to your heart?

🇮🇱DAN BONGINO IS ISRAEL FIRST—NOT AMERICA FIRST:

In a separate, damning interview, @dbongino was asked what cause is ""the the number one cause ""dear to his heart"". His answer wasn't America First. It wasn't The Constitution. It was: ""The Defense of Israel.""

Under your leadership, the FBI has been accused of planting evidence and falsifying documents to protect the real killers. It’s starting to look like the ""Assistant FBI Director"" was actually the point man for the cover up.

🕵️‍♀️ WHO IS PAULA ANDREA MARTINEZ (BONGINO)?
We’ve done the digging that the mainstream media refuses to do. Here is the bio on the woman in the middle of the TPUSA/FBI web:

Professional Ties: Paula is a web developer and consultant. Multiple sources and corporate filings link her to Redline Strategy, LLC (the primary legal entity for ""Redline Pictures"").

Redline Strategy, LLC is registered in Scottsdale, AZ, sharing the same corporate hub as Turning Point USA.

As Dan admitted, she handled scheduling and high-level media booking for Andrew Kolvet and Charlie Kirk. She wasn't just staff; she was the ""engine room"" infrastructure.

Like her husband, Paula has been a vocal supporter of the ""Defense of Israel"" cause, frequently seen at TPUSA events (like the Auburn chapter) tagging the organization and its leadership.

The Business Portfolio: Together with Dan, she operates three home-based businesses focused on security consulting, risk management, and web development—providing a perfect ""private"" layer for coordination between federal interests and private media firms.

Now it all makes sense.

Why he protects the Epstein client list.

Why he screams ""conspiracy theorist"" at anyone mentioning foreign influence.

Why he is carrying water for the intel networks trying to silence @RealCandaceO 

Dan Bongino didn't misspeak. He just told you whose flag he’s actually saluting. 🇺🇸🚫🇮🇱

📢 WE NEED YOUR TIPS!
The truth is coming out, and the ""engine room"" is starting to smoke. If you have any information regarding Paula Bongino’s relationship with Andrew Kolvet, Redline Strategy LLC, or TPUSA—especially regarding the timeline of September 2025 until now—we want to hear from you.

📥 DM us here or email: projectconstitutionvideos@gmail.com

Stay steadfast. Stay unshaken. Beholden only to God. 🙏"
"'2041088278225445206'","4/6/2026 5:39","Tweet","en","7978","5283","845","151","1699","2","3","🚨SHOCKING: Jake Paul Just Exposed the Truth About Erika Kirk: His Answer Tell's You EVERYTHING You Need To Know!😱

Theo Von just dropped an absolute nuke on his podcast, and it resulted in one of the most telling reactions ever caught on camera. Out of nowhere, Theo looks Jake Paul dead in the eye and asks the exact question the entire movement has been demanding an answer to:

""Do you think Erika Kirk had anything to do with her husband's death?""

Watch the clip. Look at Jake Paul’s body language. The internal panic is instant. He is visibly stressed, shifting in his seat, sweating, and literally starts swigging Listerine mouthwash just to buy himself time.

When he finally manages to speak, he stutters and completely deflects: ""I'll talk about a lot of things, but I don't think I'll talk about Charlie Kirk and his assassination... the sensitive details around it. Oh, dude, I don't even wanna f*ing talk about it.""

The Psychological Tell
Here is the undeniable reality of human behavior: If you are asked if a widow participated in her husband's murder, and you genuinely believe she is innocent, the answer is an immediate, reflexive ""No, of course not. That's insane."" You don't start sweating. You don't stutter. And you certainly don't nervously try to change the subject to avoid the ""sensitive details.""

Jake Paul has made a massive career out of running his mouth. He calls out billionaires, professional fighters, and politicians without batting an eye. He isn't afraid of anybody. Yet, when asked this one specific question about Erika Kirk, he completely folds and refuses to answer.

That refusal is the loudest answer he could possibly give.

By declining to defend her—and by looking absolutely terrified at the prospect of even discussing the ""sensitive details"" on a microphone— @jakepaul just told the entire world exactly what he really believes. If he thought she was innocent, he would have just said so. In my opinion his physical panic proves he thinks she's guilty, but he knows exactly how dangerous the people protecting her really are.

The dam is breaking, and even the biggest influencers on the planet can't hide the truth on their faces anymore.

From: @KillaKreww"
"'2040941749493694814'","4/5/2026 19:56","Tweet","en","7821","5069","2013","103","636","4","3","🚨UPDATE:  The Full Story Is EVEN Worse— TPUSA Cut His Mic, But The Crowd Revolted 😳

Yesterday, we dropped the clip of the GW University student exposing the ""New"" TPUSA’s staged Q&A. Well, he just dropped the full breakdown of what actually happened in that room, and it is a masterclass in cowardice from Erika Kirk and the event organizers.

If you thought the plants were bad, wait until you hear how far they went to silence this kid.

Here are the receipts from the room:

The Calculated Shut Down: The student was 5th in line. He realized the first 3 spots were given to TPUSA plants. Then, a TPUSA worker walked up and explicitly told him the Q&A would end exactly after the person in front of him. They engineered the clock to run out before a single actual student could ask a question.

The Crowd Rebellion: The students in the room realized they were being played. When TPUSA tried to shut it down, the crowd ERUPTED. They literally forced the organizers to let this student speak.

The Ultimate Cowardice: Even after the crowd demanded he be heard, TPUSA refused to give him a microphone. For half of his question, he had to scream at the top of his lungs just to be heard over the handlers.

The Death of ""Prove Me Wrong""
Let this sink in: They had the floor for two solid hours of uninterrupted, scripted rhetoric. But they were so terrified of the truth that they couldn't stomach two minutes of an actual student asking a real question.

Charlie Kirk built Turning Point by walking into hostile territory, setting up a table, and handing the microphone directly to the people who hated him the most. He thrived on the debate.

Now? The organization he built is rigging the lines with paid plants, cutting the audio on college kids, and hiding Erika Kirk behind a wall of fake free speech. It is not a movement anymore; it is a protection racket.

""Why in an event that was supposed to uplift GW students' voices, do we designate the first three spots to people planted there by Turning Point themselves?"" That is the question they refused to answer.

Watch the full clip. The facade is crumbling, and the students are the ones tearing it down. 👇

From: @charise_lee FOLLOW Him!"
"'2048023932058423514'","4/25/2026 8:58","Tweet","en","7035","5205","1173","288","369","5","3","‼️ Utah Law JUST Handed CANDACE OWENS The Keys To The Tyler Robinson Case—She Can File As VICTIM Representative And CANCEL Out Erika Kirk 👀

Let’s go straight to the statute: Utah Code 77-38-9.
Victim representatives aren’t limited to family. A close friend can step in.

Candace Owens was one of Charlie Kirk’s closest friends — she has the text messages, the videos, the receipts to prove it.
She can file TODAY as victim representative.
Unlike Erika Kirk (who the law says is disqualified if she even appears criminally involved), Candace can demand:

A thorough investigation
Real justice
Time for the defense to do its job

Under the exact same Utah law, Candace has equal — and I’d argue stronger — rights than Erika. The judge is required to treat both requests the same or prove he’s biased.

If he accepts Erika but rejects Candace? The entire trial gets exposed as a sham.
Candace Owens has the power to force this case back on track.

It’s time for her to step up and file.

What do you think — should @RealCandaceO file as victim representative RIGHT NOW? Drop a 🔥 if you want her to see this and RT to make sure it reaches her. Comments below 👇

FOLLOW @FinanceWolves and watch his FULL video linked below 👇"
"'2039879945934024990'","4/2/2026 21:37","Tweet","en","6405","4974","1006","242","183","4","3","🚨 Erika Kirk Just Said She DOESN'T Care About What People Say About Her Online — She Cares So LITTLE That She's Sent Me Not One But TWO Cease And Desist Letters 🤣

We just caught Erika Kirk in yet another lie. She sat down for a softball interview and claimed she ""really does not care"" what people online say about her because she's ""too busy"" playing with Magna Tiles.

She wants you to believe she's a traditional Christian, above-it-all mother, tuning out the ""noise."" 

But actions speak louder than words, and her actions prove she is CRACKING under the pressure.

If she ""really does not care,"" then why has she unleashed a fleet of high dollar lawyers to try to bully journalists and investigators into silence?

Here's the REAL truth, I have personally received not one, but TWO cease and desist letters from her lawyers for reporting on her.

And I'm not the only one. She has targeted. She's also sent cease and desist letters to both @RealCandaceO and @FinanceWolves 

And they've threatened many others as well who dare to ask questions.

The fact that I've received TWO tells you everything you need to know. She is watching. She is scared. And she is desperately trying to control the narrative by threatening anyone who gets too close to the truth.

You don't send out multiple threatening legal letters to people you ""don't care"" about. You do that when the truth is a mortal threat to the carefully constructed facade you're selling to the world.

She isn't busy playing with Magna Tiles. She's busy watching her every move get exposed, and her only response is to try to legally bully the truth into silence with lawfare.

It's not working. Every cease and desist letter is just another piece of evidence that we are over the target.

She cares so little she had her lawyers write to me twice. Share this if you see through the lies!💪 🇺🇸

FROM: @ShadowofEzra FOLLOW Him!"
"'2039427120657543282'","4/1/2026 15:38","Tweet","en","5936","4370","1451","115","0","3","3","🚨 BOMBSHELL: Stock Photo PROVES The FBI FAKED Their Entire Case Against Tyler Robinson- It Was Physically IMPOSSIBLE for Tyler's Dad to Recognize the Gun on TV.🧐🍴

 Are we really just going to sit around and ignore the glaring reality staring us right in the face? Because I'm not. The FBI got sloppy, and we just caught them in a massive, undeniable lie that proves they have faked this entire case against Tyler Robinson.   

There is exactly one indisputable fact buried in the timeline, and this single detail completely obliterates the state's manufactured narrative. It proves, beyond a shadow of a doubt, that the alleged text messages are 100% fabricated, and it proves the official story about Tyler's parents recognizing the murder weapon and turning him in is an absolute, manufactured lie.  

TPUSA and the mainstream media have been aggressively pushing a very specific story: They claim Tyler’s father, Matt Robinson, was watching the news, saw a picture of the rifle the Feds released, instantly recognized it as their ""very unique"" family heirloom, and began frantically texting and calling Tyler to prove he hadn't used the weapon to shoot Charlie Kirk.  

To back up this Hollywood-style narrative, the Feds leaked a highly convenient transcript of a supposed text exchange between Tyler and his furry boyfriend, Lance Twiggs.  

THE FAKE TEXT MESSAGES: 
According to the FBI's leaked transcript, Tyler allegedly texted: ""My dad wants photos of the rifle. He says Grandpa wants to know who has what. The feds released a photo of the rifle, and it is very unique. He's calling me right now. I'm not answering.""  

Read that text again carefully. Tyler supposedly wrote: ""The feds released a photo of the rifle, and it is very unique."" There is just one massive, glaring, impossible problem with that text message: The Feds NEVER released a picture of the actual rifle.  

The weapon allegedly recovered at the scene was an antique, highly distinct World War 1-era Mauser. But the image actually released by the media during the manhunt was a generic, random STOCK PHOTO of a standard bolt-action .30-06. It looked like five or six other generic rifles on the market. There was absolutely NOTHING ""unique"" about the photo shown on the news, and it looked nothing like the actual Mauser.  

Let’s apply basic logic. How could Matt Robinson sit in his living room, look at a generic stock photo of a completely different gun, and instantly recognize it as his family's highly unique, antique Mauser?  

HE COULDN'T. It is physically impossible. That event never happened.  

And if that event never happened, then Tyler Robinson could never have sent a text message reacting to it.  

This proves that the leaked text messages are completely fabricated. No 20-something kid writes like a bad Hollywood script. The Feds, likely using ChatGPT or a sloppy operative, manufactured this entire text exchange to FRAME Tyler and create a fake motive for his surrender.  

The official story is dead. The texts are fake. The ""his dad turned him in"" narrative is a manufactured lie. This is a STATE-SPONSORED frame job, and the syndicate is officially out of cards to play. 🃏🗑️

FOLLOW @realjesseonfire and go watch his FULL video linked below.👇"
