"tweet_id","created_at","engagement","favorite_count","retweet_count","reply_count","text"
"'2039541938068611375'","4/1/2026 23:14","1414","1253","114","47","@BlakeSNeff It’s fascinating to watch you descend into such an emotional, hysterical state. You’re calling her a ""maniac"" and a ""predator"" because it’s much easier to hurl ad hominem attacks  than it is to address the actual claim.

You expect us to believe that Charlie Kirk—a man who spent his entire career championing traditional values and the importance of mothers being in the home—suddenly decided his wife should take on a grueling, high-travel CEO position for his young children? 

Does that sound like the Charlie Kirk we know, or does that sound like a desperate lie? 

Especially considering the reports that he was seeking a divorce at the time? The math isn’t mathing, Blake.

The truth is, you won’t release the video because the video doesn’t exist. You are bluffing to protect a narrative that is crumbling under the weight of all t=of the egyptian planes you pretend don't exist.

Keep the name-calling; I’ll keep the receipts. If you aren't a coward, release the tape. Otherwise, stay quiet and get exposed. 👋"
"'2039386815933603905'","4/1/2026 12:58","1269","1181","75","13","@charliekirk11 STOP!!! 🛑
Stop posting from a dead mans account you scumbags.🤬"
"'2044288786188640352'","4/15/2026 1:36","708","660","16","32","That's a lie
@BlakeSNeff
. She couldn't attend in person that day because of short notice and plans for her Husband's birthday. Also despite the actual credible assassination plot on her life (unlike Erika's) she still tried to reschedule and you guys acted petty AF like the little girl you are and basically told her to pound sand. Don't make me pull the clips because I will..."
"'2044384297197379721'","4/15/2026 7:56","658","595","23","40","@NatlyDenise_ so you mock the credible death threat candace had on her life but clutch your pearls when when we do the same to Erika? Right... Totally makes sense🤡"
"'2049132162545320272'","4/28/2026 10:22","344","309","20","12","because you ARE a FED and Erika Kirk DID participate in Charlie's assassination and/or the coverup in my opinion. Also @baroncoleman  is right, you're X feed is extremely disingenuous and irresponsible. You constantly push lies and falsehoods to appease your employers. i would have expected much better from a literal  descendant of a Kandahar Giant. Shame on you Gary."
"'2044334301165027393'","4/15/2026 4:37","270","248","14","8","@WellsJorda89710 Funny how none of you shills clutching your pearls and pretending to be Christians took the threat against Candace Owens seriously. Also Erika herself says they get threats all the time and it's just business as usual, so what changed? https://t.co/GJbLqvVUSj"
"'2043691826897432693'","4/13/2026 10:04","259","204","47","8","Edward Snowden Leaked Slides For CIA Prism Database Containing Erika Kirk's Mom's name Lori Frantzve being listed as a ""NSA Agent"". https://t.co/Y03gKMwqDt"
"'2048307049914618118'","4/26/2026 3:43","248","222","22","4","@BasedSamParker Reposted. Thats wild, they absolutely cut her off intentionally. Also the Koline Leavitt interview aout ""Shots fired"" reminds me exactly of the setup foreshadowing Charlie Kirk's assassination with Hunter Kozak;s question about Mass shooters."
"'2040306355332960377'","4/4/2026 1:51","233","215","16","2","Who cares Gary? The spent shell casing was NOT found at the seen, it was still in the chamber of the bolt action rifle they claim to have found wrapped in a towel.  it was never ejected so of course it matches the rifle dummy. the problem is:

1.) They lied on the ATF report claimin git was found at the scene when it wasn't and 

2.) they still cant link that rifle to the death of Charlie Kirk. https://t.co/6cCJaIhQTl"
"'2044329132889108944'","4/15/2026 4:17","168","152","5","11","@ClayTravis Erika Kirk is an intelligence asset, Not a WIDOW. She also is CEO of a company worth over $200 million. She's open to criticism whether she likes it or not. If she didn't want the heat she should of thought about that before covering up her husband's murder."
